,created_at,tweets
52,2019-12-13 19:58:35,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
53,2019-12-13 19:50:50,"RT @IndianaMSOC: NEWS ➡️ Jack Maher and Aidan Morris have been named @UnitedCoaches All-Americans.

📝 https://t.co/R5lKYTnbbp

#IUMS | #GoI…"
54,2019-12-13 19:50:10,"RT @IndianaFootball: Another honor for #IUFB's @Mullen_7era!

📝 https://t.co/pW3ZfH51Y4 https://t.co/rqGbc87z9D"
55,2019-12-13 19:44:00,RT @IndianaFootball: Congratulations to #IUFB's @CoachAllenIU for being named a semifinalist for the George Munger College Coach of the Yea…
56,2019-12-13 19:40:56,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
57,2019-12-13 19:38:58,"RT @IndianaFootball: 🗣 Prime time matchup! 🗣 Tennessee Volunteers versus Indiana Hoosiers! 🗣 SEC vs Big Ten! 🗣 January 2, 2020! https://t.c…"
58,2019-12-13 19:33:27,"🔷ALUMNI REPORT🔶

Congrats to Skylar Stidam for being named to the All Big Ten Academic team for XC!

#Warrior4Ever… https://t.co/XZu8SexObx"
59,2019-12-13 19:33:01,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
60,2019-12-13 19:31:57,"UNI Open Next for #IUWR

https://t.co/1gBJrPit3I"
61,2019-12-13 19:15:42,"RT @IndianaMSOC: NEWS ➡️ Jack Maher and Aidan Morris have been named @UnitedCoaches All-Americans.

📝 https://t.co/R5lKYTnbbp

#IUMS | #GoI…"
62,2019-12-13 19:13:24,@IUHoosiers @IndianaMBB No one has contacted me about winning the tickets yet.  I'm still available.  #goiu
63,2019-12-13 19:07:49,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
64,2019-12-13 19:01:55,"RT @IndianaWBB: Sunday afternoon basketball on tap for No. 12 #iuwbb as Youngstown State comes to town ⚪️🔴

📝https://t.co/SlWn0M3ewe
🎟️http…"
65,2019-12-13 18:54:43,No. 12 Indiana WBB Grinds Out Win At Butler: @IUHoosiers https://t.co/VpM3FC3V6h https://t.co/gF5aRQ8az5
66,2019-12-13 18:24:26,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
67,2019-12-13 18:17:53,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
68,2019-12-13 17:59:37,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
69,2019-12-13 17:51:16,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
70,2019-12-13 17:49:39,RT @IUHoosiers: Friday + Sunday. 👇 https://t.co/IuuCLkJyJC
71,2019-12-13 17:46:02,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
72,2019-12-13 17:40:21,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
73,2019-12-13 17:34:40,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
74,2019-12-13 17:29:03,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
75,2019-12-13 17:16:04,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
76,2019-12-13 17:13:39,"RT @IndianaFootball: Another honor for #IUFB's @Mullen_7era!

📝 https://t.co/pW3ZfH51Y4 https://t.co/rqGbc87z9D"
77,2019-12-13 17:12:46,RT @IUArtifacts: ON THIS DAY-1971: Junior center Steve Downing goes for 47 points and 25 rebounds in a thrilling 90-89 2OT win over Kentuck…
78,2019-12-13 17:10:51,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
79,2019-12-13 16:59:58,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
