,created_at,tweets
158,2019-12-11 04:41:01,Let it go https://t.co/KlHJT6JkFN
159,2019-12-11 04:40:46,@IUBarstool This is a joke right
160,2019-12-11 04:40:36,@IUBarstool Give him the ball and let him cooooookkk!!
161,2019-12-11 04:40:30,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
162,2019-12-11 04:40:12,JOEY CAN NOT BE STOPPED #IUBB
163,2019-12-11 04:40:11,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
164,2019-12-11 04:39:19,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
165,2019-12-11 04:36:18,"@swimfan1122 @IUBarstool I was wrong, I guess the last time they were in a final four would’ve been 02 like you said"
166,2019-12-11 04:31:57,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
167,2019-12-11 04:31:04,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
168,2019-12-11 04:30:13,RT @PhillipsThe1st_: Personal favorite GW I’ve ever seen https://t.co/B8eohJyp5R
169,2019-12-11 04:27:33,https://t.co/t2SlPzwEjX
170,2019-12-11 04:25:11,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
171,2019-12-11 04:24:21,Live look at @Archie_Miller in the huddle https://t.co/fV573s1BVq
172,2019-12-11 04:22:39,RT @IUBarstool: https://t.co/liizTWwGs9
173,2019-12-11 04:21:56,https://t.co/liizTWwGs9
174,2019-12-11 04:21:28,For all the LBN fans that are dissing Louisville tonight. https://t.co/DTj1HmBRJH
175,2019-12-11 04:20:33,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
176,2019-12-11 04:19:33,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
177,2019-12-11 04:16:08,"One of my favorite memories from undergrad. So glad I got to attend the game with my grandpa, the biggest IU fan I… https://t.co/jUNzFX8rTE"
178,2019-12-11 04:12:39,@IUBarstool Fisher did it better!!
179,2019-12-11 04:05:25,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
180,2019-12-11 04:03:05,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
